x,y,dx,dy,dx_1,dy_1,dx_2,dy_2,dx_3,dy_3,dx_4,dy_4,dx_5,dy_5,dx_6,dy_6,dx_7,dy_7,dx_8,dy_8,dx_9,dy_9,dx_10,dy_10,dx_true,dy_true
812.0,388.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-79.22967752592379,11.075116213301166
799.0,388.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-79.11155084775137,11.889597237234302
787.0,388.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-78.97680063022443,12.75401749307971
774.0,388.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-78.79338050456693,13.842080358910408
761.0,388.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-78.55636230180318,15.129373480347292
749.0,388.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-78.27045317715228,16.544973842324854
739.0,388.0,-9.0,0.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-77.96290752528066,17.938368103161928
730.0,388.0,-8.0,0.0,-9.0,0.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-77.61140001162656,19.402850002906654
722.0,388.0,-5.0,0.0,-8.0,0.0,-9.0,0.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-77.21810975359548,20.91323805826544
717.0,388.0,-5.0,0.0,-5.0,0.0,-8.0,0.0,-9.0,0.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-76.92191581126585,21.97769023179026
712.0,388.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-8.0,0.0,-9.0,0.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-76.57691418388873,23.151160102105894
707.0,388.0,-4.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-8.0,0.0,-9.0,0.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-76.17206328499492,24.450291918640346
703.0,388.0,-4.0,0.0,-4.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-8.0,0.0,-9.0,0.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-75.79565340402593,25.593337513047697
699.0,388.0,-3.0,0.0,-4.0,0.0,-4.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-8.0,0.0,-9.0,0.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-73.00000000000001,25.999999999999993
696.0,388.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-4.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-8.0,0.0,-9.0,0.0,-10.0,0.0,-12.0,0.0,-70.0,26.000000000000004
692.0,388.0,-3.0,0.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-4.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-8.0,0.0,-9.0,0.0,-10.0,0.0,-66.0,25.999999999999996
689.0,388.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-4.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-8.0,0.0,-9.0,0.0,-63.0,25.999999999999993
685.0,388.0,-3.0,-1.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-4.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-8.0,0.0,-59.00000000000001,25.99999999999999
682.0,387.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-4.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-55.99999999999999,27.000000000000007
679.0,387.0,-3.0,-1.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-4.0,0.0,-5.0,0.0,-5.0,0.0,0.0,0.0
676.0,386.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-4.0,0.0,-5.0,0.0,0.0,0.0
674.0,385.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-4.0,0.0,0.0,0.0
673.0,384.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,0.0,0.0
670.0,383.0,-1.0,0.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,-3.0,0.0,0.0,0.0
669.0,383.0,-3.0,-2.0,-1.0,0.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-3.0,0.0,-4.0,0.0,0.0,0.0
666.0,381.0,-2.0,0.0,-3.0,-2.0,-1.0,0.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-3.0,0.0,0.0,0.0
664.0,381.0,-2.0,-1.0,-2.0,0.0,-3.0,-2.0,-1.0,0.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,0.0,0.0
662.0,380.0,-4.0,0.0,-2.0,-1.0,-2.0,0.0,-3.0,-2.0,-1.0,0.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,-3.0,-1.0,0.0,0.0
658.0,380.0,-3.0,-1.0,-4.0,0.0,-2.0,-1.0,-2.0,0.0,-3.0,-2.0,-1.0,0.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,0.0,0.0
655.0,379.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-2.0,-1.0,-2.0,0.0,-3.0,-2.0,-1.0,0.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,0.0,0.0
